Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"standardBrowserEnv",,,,,,,,,,,,,,,,,,,,,,,,,,,51,,51,,6,,6,,31,31,,14,,14,,1,0,16,8,8,,8,8,,1,1,1,1,,,,,0,,9,9,10,3
Function,"standardBrowserEnv.isURLSameOrigin",,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,0,,0,,5,5,,0,,0,,1,0,3,2,2,,1,1,,2,2,3,1,,,,,0,,2,2,3,1
Function,"standardBrowserEnv.resolveURL",,,,,,,,,,,,,,,,,,,,,,,,,,,25,,25,,3,,3,,20,20,,2,,2,,2,0,7,2,2,,5,5,,6,6,6,1,,,,,1,,6,6,6,1
Function,"stripBOM",,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,,0,,0,,6,6,,0,,0,,2,0,4,1,1,,3,3,,2,2,2,1,,,,,1,,2,2,2,1
Function,"throwIfCancellationRequested",,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,0,,0,,5,5,,0,,0,,2,0,3,1,1,,2,2,,2,2,2,1,,,,,1,,2,2,2,1
Function,"throwIfRequested",,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,0,,0,,5,5,,0,,0,,2,0,3,1,1,,2,2,,2,2,2,1,,,,,1,,2,2,2,1
Function,"toString",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,2,2,2,1,,,,,0,,2,2,2,1
Function,"transformData",,,,,,,,,,,,,,,,,,,,,,,,,,,8,,8,,1,,1,,6,6,,1,,1,,1,0,5,2,2,,3,3,,1,1,1,1,,,,,0,,2,2,2,2
Function,"transformData.transform",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"trim",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"use",,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,,0,,0,,7,7,,0,,0,,1,0,3,1,1,,2,2,,1,1,1,1,,,,,0,,1,1,1,1
Function,"write.write",,,,,,,,,,,,,,,,,,,,,,,,,,,22,,22,,5,,5,,17,17,,0,,0,,16,1,12,2,2,,10,10,,5,5,5,1,,,,,1,,5,5,5,1
Function,"write.write",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,1,1,1,,0,0,,1,1,1,1,,,,,0,,1,1,1,1
Function,"xhrAdapter",,,,,,,,,,,,,,,,,,,,,,,,,,,168,,168,,28,,28,,107,107,,34,,34,,1,0,75,19,19,,56,56,,1,1,1,1,,,,,0,,31,31,40,13
Function,"xhrAdapter.dispatchXhrRequest",,,,,,,,,,,,,,,,,,,,,,,,,,,166,,166,,28,,28,,105,105,,34,,34,,3072,3,73,18,18,,55,55,,16,16,20,4,,,,,3,,30,30,39,12
Function,"xhrAdapter.dispatchXhrRequest.handleAbort",,,,,,,,,,,,,,,,,,,,,,,,,,,10,,10,,2,,2,,7,7,,1,,1,,2,0,5,1,1,,4,4,,2,2,2,1,,,,,1,,2,2,2,1
Function,"xhrAdapter.dispatchXhrRequest.handleError",,,,,,,,,,,,,,,,,,,,,,,,,,,8,,8,,1,,1,,4,4,,3,,3,,1,0,3,1,1,,2,2,,1,1,1,1,,,,,0,,1,1,1,1
Function,"xhrAdapter.dispatchXhrRequest.handleLoad",,,,,,,,,,,,,,,,,,,,,,,,,,,30,,30,,4,,4,,20,20,,6,,6,,3,0,10,4,4,,6,6,,5,5,9,3,,,,,1,,5,5,9,3
Function,"xhrAdapter.dispatchXhrRequest.handleTimeout",,,,,,,,,,,,,,,,,,,,,,,,,,,11,,11,,1,,1,,9,9,,1,,1,,2,0,6,2,2,,4,4,,2,2,2,1,,,,,1,,2,2,2,1
